ID_No,Guide_No,Name_of_Material
1557,152,"Arsenic compound, solid, n.o.s."
1558,152,Arsenic
1559,151,Arsenic pentoxide
1560,157,Arsenic chloride
1560,157,Arsenic trichloride
1561,151,Arsenic trioxide
1562,152,Arsenical dust
1564,154,"Barium compound, n.o.s."
1565,157,Barium cyanide
1566,154,"Beryllium compound, n.o.s."
1567,134,Beryllium powder
1569,131,Bromoacetone
1570,151,Brucine
1571,113,"Barium azide, wetted with not"
1572,151,Cacodylic acid
1573,151,Calcium arsenate
1574,151,Calcium arsenate and calcium
1575,157,Calcium cyanide
1577,153,"Chlorodinitrobenzenes, liquid"
1578,152,"Chloronitrobenzenes, solid"
1579,153,4-Chloro-o-toluidine
1580,154,Chloropicrin
1581,123,Chloropicrin and methyl bromide
1582,119,Chloropicrin and methyl chloride
1583,154,"Chloropicrin mixture, n.o.s."
1585,151,Copper acetoarsenite
1586,151,Copper arsenite
1587,151,Copper cyanide
1588,157,"Cyanides, inorganic, solid,"
1589,125,"Cyanogen chloride, stabilized"
1590,153,"Dichloroanilines, liquid"
1591,152,o-Dichlorobenzene
1593,160,Dichloromethane
1593,160,Methylene chloride
1594,152,Diethyl sulfate
1594,152,Diethyl sulphate
1595,156,Dimethyl sulfate
1595,156,Dimethyl sulphate
1596,153,Dinitroanilines
1597,152,"Dinitrobenzenes, liquid"
1598,153,Dinitro-o-cresol
1599,153,"Dinitrophenol, solution"
1600,152,"Dinitrotoluenes, molten"
1601,151,"Disinfectant, solid, poisonous,"
1602,151,"Dye, liquid, poisonous, n.o.s."
1602,151,"Dye, liquid, toxic, n.o.s."
1602,151,"Dye intermediate, liquid,"
1602,151,"Dye intermediate, liquid, toxic,"
1603,155,Ethyl bromoacetate
1604,132,Ethylenediamine
1605,154,Ethylene dibromide
1606,151,Ferric arsenate
1607,151,Ferric arsenite
1608,151,Ferrous arsenate
1611,151,Hexaethyl tetraphosphate
1612,123,Hexaethyl tetraphosphate and
1613,154,"Hydrocyanic acid, aqueous"
1613,154,"Hydrocyanic acid, aqueous"
1613,154,"Hydrogen cyanide, aqueous"
1614,152,"Hydrogen cyanide, stabilized"
1616,151,Lead acetate
1617,151,Lead arsenates
1618,151,Lead arsenites
1620,151,Lead cyanide
1621,151,London purple
1622,151,Magnesium arsenate
1623,151,Mercuric arsenate
1624,154,Mercuric chloride
1625,141,Mercuric nitrate
1626,157,Mercuric potassium cyanide
1627,141,Mercurous nitrate
1629,151,Mercury acetate
1630,151,Mercury ammonium chloride
1631,154,Mercury benzoate
1634,154,Mercury bromides
1636,154,Mercury cyanide
1637,151,Mercury gluconate
1638,151,Mercury iodide
1639,151,Mercury nucleate
1640,151,Mercury oleate
1641,151,Mercury oxide
1642,151,"Mercury oxycyanide,"
1643,151,Mercury potassium iodide
1644,151,Mercury salicylate
1645,151,Mercury sulfate
1645,151,Mercury sulphate
1646,151,Mercury thiocyanate
1647,151,Methyl bromide and ethylene
1648,127,Acetonitrile
1649,152,Motor fuel anti-knock mixture
1650,153,"beta-Naphthylamine, solid"
1650,153,"Naphthylamine (beta), solid"
1651,153,Naphthylthiourea
1652,153,Naphthylurea
1653,151,Nickel cyanide
1654,151,Nicotine
1655,151,"Nicotine compound, solid, n.o.s."
1655,151,"Nicotine preparation, solid,"
1656,151,"Nicotine hydrochloride, liquid1656 151 Nicotine hydrochloride, solution"
1657,151,Nicotine salicylate
1658,151,"Nicotine sulfate, solution"
1658,151,"Nicotine sulphate, solution"
1659,151,Nicotine tartrate
1660,124,"Nitric oxide, compressed"
1661,153,Nitroanilines
1662,152,Nitrobenzene
1663,153,Nitrophenols
1664,152,"Nitrotoluenes, liquid"
1665,152,"Nitroxylenes, liquid"
1669,151,Pentachloroethane
1670,157,Perchloromethyl mercaptan
1671,153,"Phenol, solid"
1672,151,Phenylcarbylamine chloride
1673,153,Phenylenediamines
1674,151,Phenylmercuric acetate
1677,151,Potassium arsenate
1678,154,Potassium arsenite
1679,157,Potassium cuprocyanide
1680,157,"Potassium cyanide, solid"
1683,151,Silver arsenite
1684,151,Silver cyanide
1685,151,Sodium arsenate
1686,154,"Sodium arsenite, aqueous"
1687,153,Sodium azide
1688,152,Sodium cacodylate
1689,157,"Sodium cyanide, solid"
1690,154,"Sodium fluoride, solid"
1691,151,Strontium arsenite
1692,151,Strychnine
1692,151,Strychnine salts
1693,159,Tear gas devices
1693,159,"Tear gas substance, liquid,"
1694,159,"Bromobenzyl cyanides, liquid"
1695,131,"Chloroacetone, stabilized"
1697,153,"Chloroacetophenone, solid"
1698,154,Diphenylamine chloroarsine
1699,151,"Diphenylchloroarsine, liquid"
1700,159,Tear gas candles
1700,159,Tear gas grenades
1701,152,"Xylyl bromide, liquid"
1702,151,"1,1,2,2-Tetrachloroethane"
1704,153,Tetraethyl dithiopyrophosphate
1707,151,"Thallium compound, n.o.s."
1708,153,"Toluidines, liquid"
1709,151,"2,4-Toluenediamine, solid"
1709,151,"2,4-Toluylenediamine, solid"
1710,160,Trichloroethylene
1711,153,"Xylidines, liquid"
1712,151,Zinc arsenate
1712,151,Zinc arsenate and zinc arsenite
1712,151,Zinc arsenite
1713,151,Zinc cyanide
1714,139,Zinc phosphide
1715,137,Acetic anhydride
1716,156,Acetyl bromide
1717,155,Acetyl chloride
1718,153,Acid butyl phosphate
1718,153,Butyl acid phosphate
1719,154,"Caustic alkali liquid, n.o.s."
1722,155,Allyl chlorocarbonate1722 155 Allyl chloroformate
1723,132,Allyl iodide
1724,155,"Allyltrichlorosilane, stabilized"
1725,137,"Aluminum bromide, anhydrous"
1726,137,"Aluminum chloride, anhydrous"
1727,154,"Ammonium bifluoride, solid"
1727,154,"Ammonium hydrogendifluoride,"
1728,156,Amyltrichlorosilane
1729,156,Anisoyl chloride
1730,157,"Antimony pentachloride, liquid"
1731,157,"Antimony pentachloride,"
1732,157,Antimony pentafluoride
1733,157,Antimony trichloride
1733,157,"Antimony trichloride, liquid"
1733,157,"Antimony trichloride, solid"
1736,137,Benzoyl chloride
1737,156,Benzyl bromide
1738,156,Benzyl chloride
1739,137,Benzyl chloroformate
1740,154,"Hydrogendifluorides, solid,"
1741,125,Boron trichloride
1742,157,Boron trifluoride acetic acid
1743,157,Boron trifluoride propionic acid
1744,154,Bromine
1744,154,"Bromine, solution"
1744,154,"Bromine, solution (Inhalation"
1744,154,"Bromine, solution (Inhalation"
1745,144,Bromine pentafluoride
1746,144,Bromine trifluoride
1747,155,Butyltrichlorosilane
1748,140,"Calcium hypochlorite, dry"
1748,140,"Calcium hypochlorite mixture,"
1749,124,Chlorine trifluoride
1750,153,"Chloroacetic acid, solution"
1751,153,"Chloroacetic acid, solid"
1752,156,Chloroacetyl chloride
1753,156,Chlorophenyltrichlorosilane
1754,137,Chlorosulfonic acid (with or
1754,137,Chlorosulphonic acid (with or
1755,154,"Chromic acid, solution"
1756,154,"Chromic fluoride, solid"
1757,154,"Chromic fluoride, solution"
1758,137,Chromium oxychloride
1759,154,"Corrosive solid, n.o.s."
1759,154,"Ferrous chloride, solid"
1760,154,Chemical kit
1760,154,"Compounds, cleaning  liquid"
1760,154,"Compounds, tree or weed"
1760,154,"Corrosive liquid, n.o.s."
1760,154,"Ferrous chloride, solution"
1761,154,"Cupriethylenediamine, solution"
1762,156,Cyclohexenyltrichlorosilane
1763,156,Cyclohexyltrichlorosilane
1764,153,Dichloroacetic acid
1765,156,Dichloroacetyl chloride
1766,156,Dichlorophenyltrichlorosilane1767 155 Diethyldichlorosilane
1768,154,"Difluorophosphoric acid,"
1769,156,Diphenyldichlorosilane
1770,153,Diphenylmethyl bromide
1771,156,Dodecyltrichlorosilane
1773,157,"Ferric chloride, anhydrous"
1774,154,"Fire extinguisher charges,"
1775,154,Fluoroboric acid
1776,154,"Fluorophosphoric acid,"
1777,137,Fluorosulfonic acid
1777,137,Fluorosulphonic acid
1778,154,Fluorosilicic acid
1778,154,Hydrofluorosilicic acid
1779,153,Formic acid
1779,153,"Formic acid, with more than"
1780,156,Fumaryl chloride
1781,156,Hexadecyltrichlorosilane
1782,154,Hexafluorophosphoric acid
1783,153,"Hexamethylenediamine, solution"
1784,156,Hexyltrichlorosilane
1786,157,Hydrofluoric acid and sulfuric
1786,157,Hydrofluoric acid and sulphuric
1786,157,Sulfuric acid and hydrofluoric
1786,157,Sulphuric acid and hydrofluoric
1787,154,Hydriodic acid
1788,154,Hydrobromic acid
1789,157,Hydrochloric acid
1789,157,Muriatic acid
1790,157,Hydrofluoric acid
1791,154,Hypochlorite solution
1791,154,Sodium hypochlorite
1792,157,"Iodine monochloride, solid"
1793,153,Isopropyl acid phosphate
1794,154,"Lead sulfate, with more than"
1794,154,"Lead sulphate, with more than"
1796,157,Nitrating acid mixture with more
1796,157,Nitrating acid mixture with not
1798,157,Aqua regia
1798,157,Nitrohydrochloric acid
1799,156,Nonyltrichlorosilane
1800,156,Octadecyltrichlorosilane
1801,156,Octyltrichlorosilane
1802,157,"Perchloric acid, with not more"
1803,153,"Phenolsulfonic acid, liquid"
1803,153,"Phenolsulphonic acid, liquid"
1804,156,Phenyltrichlorosilane
1805,154,"Phosphoric acid, solution"
1806,137,Phosphorus pentachloride
1807,137,Phosphorus pentoxide
1808,137,Phosphorus tribromide
1809,137,Phosphorus trichloride
1810,137,Phosphorus oxychloride
1811,154,"Potassium hydrogen difluoride,"
1812,154,"Potassium fluoride, solid"
1813,154,"Caustic potash, solid1813 154 Potassium hydroxide, solid"
1814,154,"Caustic potash, solution"
1814,154,"Potassium hydroxide, solution"
1815,155,Propionyl chloride
1816,155,Propyltrichlorosilane
1817,137,Pyrosulfuryl chloride
1817,137,Pyrosulphuryl chloride
1818,157,Silicon tetrachloride
1819,154,"Sodium aluminate, solution"
1823,154,"Caustic soda, solid"
1823,154,"Sodium hydroxide, solid"
1824,154,"Caustic soda, solution"
1824,154,"Sodium hydroxide, solution"
1825,157,Sodium monoxide
